ISSN	期刊名	期刊名简写	IF	深大是否订阅该期刊	中科院分区	大类学科	小类学科	更新规律	网址
1934-5909	Cell Stem Cell	CELL STEM CELL	23.29	是	1区	生物	细胞与组织工程		https://www.cell.com/cell-stem-cell/newarticles
1550-4131	Cell Metabolism	CELL METAB	20.565	是	1区	生物	细胞生物学		https://www.cell.com/cell-metabolism/newarticles
1074-7613	IMMUNITY	IMMUNITY	19.734	是	1区	医学	免疫学		https://www.cell.com/immunity/newarticles
0962-8924	TRENDS IN CELL BIOLOGY	TRENDS CELL BIOL	18.564	是	1区	生物	细胞生物学		https://www.cell.com/trends/cell-biology/newarticles
1931-3128	Cell Host & Microbe	CELL HOST MICROBE	17.872	是	1区	生物	微生物学		https://www.cell.com/cell-host-microbe/newarticles
0968-0004	TRENDS IN BIOCHEMICAL SCIENCES	TRENDS BIOCHEM SCI	15.678	是	1区	生物	生化与分子生物学		https://www.cell.com/trends/biochemical-sciences/newarticles
1471-4906	TRENDS IN IMMUNOLOGY	TRENDS IMMUNOL	14.188	是	1区	医学	免疫学		https://www.cell.com/trends/immunology/newarticles
1097-2765	MOLECULAR CELL	MOL CELL	14.248	是	1区	生物	生化与分子生物学		https://www.cell.com/molecular-cell/newarticles
0896-6273	NEURON	NEURON	14.319	是	1区	医学	神经科学		https://www.cell.com/neuron/newarticles
0165-6147	TRENDS IN PHARMACOLOGICAL SCIENCES	TRENDS PHARMACOL SCI	12.108	是	1区	医学	药学		https://www.cell.com/tips/newarticles
0966-842X	TRENDS IN MICROBIOLOGY	TRENDS MICROBIOL	11.776	是	1区	生物	生化与分子生物学		https://www.cell.com/trends/microbiology/newarticles
0166-2236	TRENDS IN NEUROSCIENCES	TRENDS NEUROSCI	11.439	是	1区	医学	神经科学		https://www.cell.com/trends/neurosciences/newarticles
1471-4914	TRENDS IN MOLECULAR MEDICINE	TRENDS MOL MED	11.021	是	1区	医学	生化与分子生物学		https://www.cell.com/trends/molecular-medicine/newarticles
1043-2760	TRENDS IN ENDOCRINOLOGY AND METABOLISM	TRENDS ENDOCRIN MET	10.769	是	1区	医学	内分泌学与代谢		https://www.cell.com/trends/endocrinology-metabolism/newarticles
0168-9525	TRENDS IN GENETICS	TRENDS GENET	10.556	是	1区	生物	遗传学		https://www.cell.com/trends/genetics/newarticles
0169-5347	TRENDS IN ECOLOGY & EVOLUTION	TRENDS ECOL EVOL	15.938	是	1区	生物	生态学		https://www.cell.com/trends/ecology-evolution/newarticles
1534-5807	DEVELOPMENTAL CELL	DEV CELL	9.616	是	1区	生物	细胞生物学		https://www.cell.com/developmental-cell/newarticles
0960-9822	CURRENT BIOLOGY	CURR BIOL	9.251	是	1区	生物	生化与分子生物学		https://www.cell.com/current-biology/newarticles
0002-9297	AMERICAN JOURNAL OF HUMAN GENETICS	AM J HUM GENET	8.855	是	1区	生物	遗传学		https://www.cell.com/ajhg/newarticles
1364-6613	TRENDS IN COGNITIVE SCIENCES	TRENDS COGN SCI	15.557	是	1区	医学	行为科学		https://www.cell.com/trends/cognitive-sciences/newarticles
2211-1247	Cell Reports	CELL REP	8.032	是	1区	生物	细胞生物学		https://www.cell.com/cell-reports/newarticles
1360-1385	TRENDS IN PLANT SCIENCE	TRENDS PLANT SCI	12.149	是	1区	生物	植物科学		https://www.cell.com/trends/plant-science/newarticles
0036-8075	SCIENCE	SCIENCE	41.058	是	1区	综合性期刊	综合性期刊		http://science.sciencemag.org
1946-6234	Science Translational Medicine	SCI TRANSL MED	16.71	否	1区	生物	细胞生物学		http://stm.sciencemag.org/
0028-4793	NEW ENGLAND JOURNAL OF MEDICINE	NEW ENGL J MED	79.26	否	1区	医学	医学：内科		https://www.nejm.org/toc/nejm/medical-journal?query=main_nav_lg
0140-6736	LANCET	LANCET	53.254	是	1区	医学	医学：内科		https://www.thelancet.com/journals/lancet/onlinefirst
1470-2045	LANCET ONCOLOGY	LANCET ONCOL	36.421	是	1区	医学	肿瘤学		https://www.thelancet.com/journals/lanonc/onlinefirst
2213-2600	Lancet Respiratory Medicine	LANCET RESP MED	21.466	否	1区	医学	危重病医学		http://www.thelancet.com/journals/lanres/onlinefirst
2213-8587	Lancet Diabetes & Endocrinology	LANCET DIABETES ENDO	19.313	是	1区	医学	内分泌学与代谢		http://www.thelancet.com/journals/landia/onlinefirst
1473-3099	LANCET INFECTIOUS DISEASES	LANCET INFECT DIS	25.148	是	1区	医学	传染病学		https://www.thelancet.com/journals/laninf/onlinefirst
2214-109X	Lancet Global Health	LANCET GLOB HEALTH	18.705	是	1区	医学	公共卫生、环境卫生与职业卫生		http://www.thelancet.com/journals/langlo/latestcontent
2352-3026	Lancet Haematology	LANCET HAEMATOL	10.698	是	1区	医学	血液学		https://www.thelancet.com/journals/lanhae/onlinefirst
2215-0374	Lancet Psychiatry	LANCET PSYCHIAT	15.233	是	1区	医学	精神病学		https://www.thelancet.com/journals/lanpsy/onlinefirst
1474-4422	LANCET NEUROLOGY	LANCET NEUROL	27.144	是	1区	医学	临床神经病学		https://www.thelancet.com/journals/laneur/onlinefirst
2352-3018	Lancet HIV	LANCET HIV	11.355	否	1区	医学	免疫学		https://www.thelancet.com/journals/lanhiv/onlinefirst
0098-7484	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	JAMA-J AM MED ASSOC	47.661	否	1区	医学	医学：内科		https://jamanetwork.com/journals/jama/newonline/2019/3
2374-2437	JAMA Oncology	JAMA ONCOL	20.871	否	1区	医学	肿瘤学		https://jamanetwork.com/journals/jamaoncology/newonline
2168-6106	JAMA Internal Medicine	JAMA INTERN MED	19.989	否	1区	医学	医学：内科		https://jamanetwork.com/journals/jamainternalmedicine/newonline
2168-6068	JAMA Dermatology	JAMA DERMATOL	8.107	否	1区	医学	皮肤病学		https://jamanetwork.com/journals/jamadermatology/newonline
2168-622X	JAMA Psychiatry	JAMA PSYCHIAT	16.642	否	1区	医学	精神病学		https://jamanetwork.com/journals/jamapsychiatry/newonline
2380-6583	JAMA Cardiology	JAMA CARDIOL	10.133	否	1区	医学	心脏和心血管系统		https://jamanetwork.com/journals/jamacardiology/newonline
2168-6254	JAMA Surgery	JAMA SURG	8.498	否	1区	医学	外科		https://jamanetwork.com/journals/jamasurgery/newonline
2168-6149	JAMA Neurology	JAMA NEUROL	11.46	否	1区	医学	临床神经病学		https://jamanetwork.com/journals/jamaneurology/newonline
2168-6203	JAMA Pediatrics	JAMA PEDIATR	10.769	否	1区	医学	儿科		https://jamanetwork.com/journals/jamapediatrics/newonline
0732-183X	JOURNAL OF CLINICAL ONCOLOGY	J CLIN ONCOL	26.36	是	1区	医学	肿瘤学		http://ascopubs.org/toc/jco/0/0
0893-8512	CLINICAL MICROBIOLOGY REVIEWS	CLIN MICROBIOL REV	20.642	否	1区	医学	微生物学		https://cmr.asm.org/latest
1552-5260	Alzheimers & Dementia	ALZHEIMERS DEMENT	12.764	是	1区	医学	临床神经病学		https://www.sciencedirect.com/journal/alzheimers-and-dementia/articles-in-press
0163-7258	PHARMACOLOGY & THERAPEUTICS	PHARMACOL THERAPEUT	10.376	是	1区	医学	药学		https://www.sciencedirect.com/journal/pharmacology-and-therapeutics/articles-in-press
0169-409X	ADVANCED DRUG DELIVERY REVIEWS	ADV DRUG DELIVER REV	13.66	是	1区	医学	药学		https://www.sciencedirect.com/journal/advanced-drug-delivery-reviews/articles-in-press
0945-053X	MATRIX BIOLOGY	MATRIX BIOL	8.136	是	1区	生物	生化与分子生物学		https://www.sciencedirect.com/journal/matrix-biology/articles-in-press
1674-2052	Molecular Plant	MOL PLANT	9.326	是	1区	生物	生化与分子生物学		https://www.sciencedirect.com/journal/molecular-plant/articles-in-press
1571-0645	Physics of Life Reviews	PHYS LIFE REV	13.783	是	1区	生物	生物学		https://www.sciencedirect.com/journal/physics-of-life-reviews/articles-in-press
0149-7634	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS	NEUROSCI BIOBEHAV R	8.037	是	1区	医学	行为科学		https://www.sciencedirect.com/journal/neuroscience-and-biobehavioral-reviews/articles-in-press
0168-8278	JOURNAL OF HEPATOLOGY	J HEPATOL	15.04	是	1区	医学	胃肠肝病学		https://www.journal-of-hepatology.eu/inpress
0301-0082	PROGRESS IN NEUROBIOLOGY	PROG NEUROBIOL	14.163	是	1区	医学	神经科学		https://www.sciencedirect.com/journal/progress-in-neurobiology/articles-in-press
1350-9462	PROGRESS IN RETINAL AND EYE RESEARCH	PROG RETIN EYE RES	11.653	是	1区	医学	眼科学		https://www.sciencedirect.com/journal/progress-in-retinal-and-eye-research/articles-in-press
0006-3223	BIOLOGICAL PSYCHIATRY	BIOL PSYCHIAT	11.984	是	1区	医学	神经科学		https://www.biologicalpsychiatryjournal.com/inpress
1087-0792	SLEEP MEDICINE REVIEWS	SLEEP MED REV	10.602	是	1区	医学	临床神经病学		https://www.sciencedirect.com/journal/sleep-medicine-reviews/articles-in-press
1044-579X	SEMINARS IN CANCER BIOLOGY	SEMIN CANCER BIOL	10.198	是	1区	医学	肿瘤学		https://www.sciencedirect.com/journal/seminars-in-cancer-biology/articles-in-press
1568-1637	AGEING RESEARCH REVIEWS	AGEING RES REV	8.973	是	1区	医学	细胞生物学		https://www.sciencedirect.com/journal/ageing-research-reviews/articles-in-press
1568-9972	AUTOIMMUNITY REVIEWS	AUTOIMMUN REV	8.745	是	1区	医学	免疫学		https://www.sciencedirect.com/journal/autoimmunity-reviews/articles-in-press
0163-7827	PROGRESS IN LIPID RESEARCH	PROG LIPID RES	8.435	是	1区	生物	生化与分子生物学		https://www.sciencedirect.com/journal/progress-in-lipid-research/articles-in-press
2213-1779	JACC-Heart Failure	JACC-HEART FAIL	8.202	是	1区	医学	心脏和心血管系统		https://www.sciencedirect.com/journal/jacc-heart-failure/articles-in-press
0304-419X	BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER	BBA-REV CANCER	8.22	是	1区	医学	生化与分子生物学		https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-reviews-on-cancer/articles-in-press
0166-0616	STUDIES IN MYCOLOGY	STUD MYCOL	11.633	是	1区	生物	真菌学		https://www.journals.elsevier.com/studies-in-mycology/recent-articles
1756-1833	BMJ-British Medical Journal	BMJ-BRIT MED J	23.562	是	1区	医学	医学：内科		https://www.bmj.com/research/research
0017-5749	GUT	GUT	17.016	是	1区	医学	胃肠肝病学		https://gut.bmj.com/content/early/recent
0040-6376	THORAX	THORAX	9.655	是	1区	医学	呼吸系统		https://thorax.bmj.com/content/early/recent
0003-4967	ANNALS OF THE RHEUMATIC DISEASES	ANN RHEUM DIS	12.35	是	1区	医学	风湿病学		https://ard.bmj.com/content/early/recent
1744-4292	Molecular Systems Biology	MOL SYST BIOL	8.5	是	1区	生物	生化与分子生物学		http://msb.embopress.org/
0261-4189	EMBO JOURNAL	EMBO J	10.557	是	1区	生物	生化与分子生物学		http://emboj.embopress.org
1469-221X	EMBO REPORTS	EMBO REP	8.749	是	1区	生物	生化与分子生物学		http://embor.embopress.org
1549-1676	PLOS MEDICINE	PLOS MED	11.675	是	1区	医学	医学：内科		https://journals.plos.org/plosmedicine/search?sortOrder=DATE_NEWEST_FIRST&filterStartDate=2019-02-01&filterEndDate=2019-03-03&filterJournals=PLoSMedicine&q=
1545-7885	PLOS BIOLOGY	PLOS BIOL	9.163	是	1区	生物	生化与分子生物学		https://journals.plos.org/plosbiology/search?sortOrder=DATE_NEWEST_FIRST&filterStartDate=2019-02-01&filterEndDate=2019-03-03&filterJournals=PLoSBiology&q=
1741-7015	BMC Medicine	BMC MED	9.088	是	1区	医学	医学：内科		https://bmcmedicine.biomedcentral.com/articles
2051-1426	Journal for ImmunoTherapy of Cancer	J IMMUNOTHER CANCER	8.374	是	1区	医学	免疫学		https://jitc.biomedcentral.com/articles
2049-2618	Microbiome	MICROBIOME	9.133	是	1区	生物	微生物学		https://microbiomejournal.biomedcentral.com/articles
1474-760X	GENOME BIOLOGY	GENOME BIOL	13.214	是	1区	生物	生物工程与应用微生物		https://genomebiology.biomedcentral.com/articles
1756-994X	Genome Medicine	GENOME MED	8.898	是	1区	生物	遗传学		https://genomemedicine.biomedcentral.com/articles
1936-878X	JACC-Cardiovascular Imaging	JACC-CARDIOVASC IMAG	10.247	否	1区	医学	心脏和心血管系统		http://imaging.onlinejacc.org/content/early/recent
1936-8798	JACC-Cardiovascular Interventions	JACC-CARDIOVASC INTE	9.881	否	1区	医学	心脏和心血管系统		http://interventions.onlinejacc.org/content/early/recent
0735-1097	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	J AM COLL CARDIOL	16.834	否	1区	医学	心脏和心血管系统		http://www.onlinejacc.org/content/early/recent
0027-8424	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	P NATL ACAD SCI USA	9.504	是	2区	综合性期刊	综合性期刊		https://www.pnas.org/content/early/recent
1040-4651	PLANT CELL	PLANT CELL	8.228	是	1区	生物	生化与分子生物学		http://www.plantcell.org/content/early/recent
0028-3878	NEUROLOGY	NEUROLOGY	8.055	否	1区	医学	临床神经病学		http://www.neurology.org/
0302-2838	EUROPEAN UROLOGY	EUR UROL	17.581	是	1区	医学	泌尿学与肾脏学		https://www.europeanurology.com/inpress
1556-0864	Journal of Thoracic Oncology	J THORAC ONCOL	10.34	否	1区	医学	肿瘤学		https://www.jto.org/inpress
1092-2172	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	MICROBIOL MOL BIOL R	13.439	否	1区	生物	微生物学		https://mmbr.asm.org/latest
0149-5992	DIABETES CARE	DIABETES CARE	13.397	否	1区	医学	内分泌学与代谢		http://care.diabetesjournals.org/content/early/recent
0390-6078	HAEMATOLOGICA	HAEMATOLOGICA	9.09	是	1区	医学	血液学		http://www.haematologica.org/content/early/recent
0008-5472	CANCER RESEARCH	CANCER RES	9.13	否	1区	医学	肿瘤学		http://cancerres.aacrjournals.org/content/early/recent?utm_source=early&utm_medium=dropdown&utm_campaign=menu
0163-769X	ENDOCRINE REVIEWS	ENDOCR REV	15.545	是	1区	医学	内分泌学与代谢		https://academic.oup.com/edrv/advance-articles
0016-5085	GASTROENTEROLOGY	GASTROENTEROLOGY	20.773	是	1区	医学	胃肠肝病学		https://www.gastrojournal.org/inpress
0007-9235	CA-A CANCER JOURNAL FOR CLINICIANS	CA-CANCER J CLIN	244.585	是	1区	医学	肿瘤学		http://onlinelibrary.wiley.com/journal/10.3322/(ISSN)1542-4863
0105-2896	IMMUNOLOGICAL REVIEWS	IMMUNOL REV	9.217	是	1区	医学	免疫学		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-065X
1757-4676	EMBO Molecular Medicine	EMBO MOL MED	10.293	是	1区	医学	医学：研究与实验		http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1757-4684
0742-3098	JOURNAL OF PINEAL RESEARCH	J PINEAL RES	11.613	是	1区	医学	内分泌学与代谢		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-079X
